ArrSize,BST-ordered,BST-ordered-searchIn,BST-ordered-searchOut,BST-slightly-ordered,BST-slightly-ordered-searchIn,BST-slightly-ordered-searchOut,BST-shuffled,BST-shuffled-searchIn,BST-shuffled-searchOut,AVL-ordered,AVL-ordered-searchIn,AVL-ordered-searchOut,AVL-slightly-ordered,AVL-slightly-ordered-searchIn,AVL-slightly-ordered-searchOut,AVL-shuffled,AVL-shuffled-searchIn,AVL-shuffled-searchOut
100,227.12,2.07,3.52,128.65,1.17,0.67,132.59,1.03,0.55,316.62,0.87,0.62,406.53,0.84,0.66,356.05,0.75,0.66
200,722.11,3.32,6.43,290.06,1.44,0.74,274.24,1.22,0.63,717.42,0.98,0.73,932.4,0.92,0.81,802.09,0.95,0.81
300,1522.24,1.85,10.88,464.48,1.68,0.9,409.16,1.11,0.62,1071.14,0.94,0.74,1497.77,0.94,0.73,1325.2,2.44,0.73
400,2502.3,1.99,12.26,652.67,1.76,0.81,528.49,1.2,0.69,1547.03,1.01,0.77,1973.61,0.93,0.8,1742.66,0.94,0.8
500,3808.49,2.07,15.23,839.72,1.88,0.87,659.15,1.16,0.74,1935.31,1.03,0.77,2532.24,0.92,0.83,2258.32,0.97,0.83
600,5429.71,2.17,19.62,1123.28,3.74,1.01,814.64,1.21,0.59,2362.85,1.07,0.77,3144.09,0.96,0.85,2778.01,0.95,0.85
700,7383.56,5.45,23.09,1324.27,2.09,1.01,934.21,1.31,0.82,2755.66,1.2,0.82,3830.3,1.12,0.89,3361.88,0.98,0.89
800,9609.18,2.17,26.06,1581.13,2.18,0.95,1091.39,1.35,0.69,3390.03,1.15,0.82,4386.34,1.13,0.86,3957.26,1.02,0.86
900,12615.1,2.21,28.4,1841.05,2.04,1.01,1299.49,1.33,0.74,3881.5,1.24,0.83,5139.98,1.05,0.94,4695.65,1.18,0.94
1000,14626.8,2.26,30.77,2079.15,2.17,1.01,1291.48,1.21,0.72,4097.37,1.2,0.75,5455.38,1.08,0.89,4961.81,1.13,0.89
1100,16928.4,2.06,39.75,2324.17,2.13,1.06,1419.54,1.35,0.72,4570.14,1.18,0.79,6196.32,1.07,0.91,5353.16,1.01,0.91
1200,21076.2,2.28,37.66,2613.54,3.96,1.06,1624.54,1.22,0.78,5089.2,1.18,0.85,6718.35,1.13,0.88,6035.64,1.06,0.88
1300,24260.2,2.36,45.32,2921.35,2.13,1.03,1759.16,1.32,0.74,5600.06,1.31,2.63,7413.47,1.1,0.94,6655.49,1.03,0.94
1400,28506.8,2.16,46.17,3075,2.17,1.18,1855.61,1.36,0.74,5868.72,1.27,0.89,7844.99,1.11,0.85,6937.28,1.09,0.85
1500,33441,2.27,51.78,3465.06,3.96,1.2,2019.92,1.3,0.88,6300.1,1.26,0.79,8698.86,1.19,0.93,7697.98,1.11,0.93
1600,38464.2,2.32,56.72,3655.09,2.17,1.25,2208.51,1.32,0.66,7126.48,1.32,0.94,9303.08,1.23,0.97,8285.26,1.09,0.97
1700,44479.9,2.54,60.91,4133.38,2.39,1.25,2355.57,1.39,0.68,7635.47,1.51,0.94,9957.85,1.26,0.95,9095.57,1.21,0.95
1800,50851.4,2.51,69.28,4636.39,2.36,1.3,2616.47,1.48,0.84,8382.64,1.51,0.86,10873.1,1.23,1.03,9836.92,1.36,1.03
1900,56953.5,2.28,66.41,4765.37,2.17,1.2,2747.19,1.42,0.75,8864.89,1.75,0.9,11581.8,1.39,1.04,10449.5,1.33,1.04
